Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-23-14 – Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 3200 мм,2041-01-23-14,Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 3200 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 15818,60"",",,,,,,,,
"2041-01-08-03 – Агрегат или машина компрессорно-конденсаторная, масса: 1,2 т ,2041-01-08-03,""Агрегат или машина компрессорно-конденсаторная, масса: 1,2 т "",16160-13 ,Кондиционирование,шт. / pcs,""4,00"",""₽ 125000,00"",""₽ 500000,00""",,,,,,,,
"2041-01-22-02 – Воздушная решетка, регулируемая, жалюзийные решетки выше 0.5 м2,2041-01-22-02,""Воздушная решетка, регулируемая, жалюзийные решетки выше 0.5 м2"",16160-13 ,Вентиляция ,м2 / m2,""16,08"",""₽ 10711,00"",""₽ 172232,88""",,,,,,,,
"2041-03-02-03 – Вентиляторы осевые, канальные массой: до 0,1 т,2041-03-02-03,""Вентиляторы осевые, канальные массой: до 0,1 т"",16160-13 ,Вентиляция ,шт. / pcs,""4,00"",""₽ 31427,00"",""₽ 125708,00""",,,,,,,,
"2041-01-23-27 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 250 мм,2041-01-23-27,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 250 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 13600,00"",",,,,,,,,
2041-02 – ТРУБОПРОВОДНЫЕ СИСТЕМЫ ОВКВ,2041-02,ТРУБОПРОВОДНЫЕ СИСТЕМЫ ОВКВ,16160-13,Отопление,,,,
2041-03 – ВЫТЯЖНЫЕ ВЕНТИЛЯТОРЫ ОВКВ,2041-03,ВЫТЯЖНЫЕ ВЕНТИЛЯТОРЫ ОВКВ,16160-13,Вентиляция,,,,
"2041-01-22-01 – Воздушная решетка, регулируемая, жалюзийные решетки до 0.5 м2,2041-01-22-01,""Воздушная решетка, регулируемая, жалюзийные решетки до 0.5 м2"",16160-13 ,Вентиляция ,м2 / m2,""15,40"",""₽ 12551,90"",""₽ 193299,26""",,,,,,,,
2041-01-15 – Агрегаты воздушно-отопительные,2041-01-15,Агрегаты воздушно-отопительные,16160-13,Отопление,,,,
"2041-01-24-05 – Огнезадерживающие клапаны периметром до 3200 мм,2041-01-24-05,Огнезадерживающие клапаны периметром до 3200 мм,16160-13 ,Вентиляция ,шт. / pcs,""3,00"",""₽ 27000,00"",""₽ 81000,00""",,,,,,,,
"2041-01-13-01 – Наружный блок мульти сплит-системы,2041-01-13-01,Наружный блок мульти сплит-системы,16160-13 ,Кондиционирование,шт. / pcs,""8,00"",""₽ 38641,00"",""₽ 309128,00""",,,,,,,,
"2041-02-05-06 – Узлы регулирования - DN 50,2041-02-05-06,Узлы регулирования - DN 50,16160-13 ,Теплоснабжение,компл. / package,,""₽ 19250,00"",",,,,,,,,
"2041-03-01-03 – Вентиляторы радиальные массой: до 0,2 т,2041-03-01-03,""Вентиляторы радиальные массой: до 0,2 т"",16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 88531,07"",""₽ 177062,14""",,,,,,,,
"2041-01-23-33 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 1600 мм,2041-01-23-33,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 1600 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 24887,47"",",,,,,,,,
"2041-01-26-23 – Прокладка гибких воздуховодов диаметром до 250 мм включительно,2041-01-26-23,Прокладка гибких воздуховодов диаметром до 250 мм включительно,16160-13 ,Вентиляция ,м / m,""10,00"",""₽ 1246,82"",""₽ 12468,20""",,,,,,,,
2041-01-27 – Изоляция воздуховодов,2041-01-27,Изоляция воздуховодов,16160-13,Вентиляция,,,,
